feature_index,importance
1157,0.04714041364401343
2199,0.046935722279212645
2564,0.04248841400653823
1096,0.027645514194489577
1037,0.02733593349103759
1720,0.026820792601916898
2373,0.025585401535993
2460,0.02543351468821012
1770,0.02483170492651163
1769,0.021140388451503685
172,0.01941916702696812
1131,0.0178256386574949
147,0.016364716377854627
1289,0.013980549965137513
821,0.013938238128920985
1047,0.013716611946373419
1165,0.013217041077668428
1169,0.012733990434032862
2557,0.012733112045353991
2957,0.011957186628594674
